epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,668.438,3.62,11.4767,1.55435,0.14072,0.16265,0.05658,0.01553,2.9584,5.72452,1.1873,0.000662942,0.000662942,0.000662942
2,1429.9,3.21957,4.47043,1.29751,0.19266,0.10643,0.05836,0.01575,2.98297,3.692,1.17431,0.00126379,0.00126379,0.00126379
3,2219.66,3.19461,3.38943,1.26293,0.15761,0.15663,0.06274,0.01805,2.94795,2.85999,1.17409,0.00179864,0.00179864,0.00179864
4,2980.53,3.11494,3.05813,1.26159,0.11867,0.1747,0.05942,0.01704,2.87776,3.07648,1.15043,0.001703,0.001703,0.001703
5,3687.11,3.0443,2.88093,1.25091,0.18817,0.17269,0.0858,0.02439,2.92037,2.65419,1.14927,0.001604,0.001604,0.001604
6,4438.12,2.98163,2.7428,1.21711,0.2149,0.24297,0.11614,0.03155,2.6617,2.43175,1.10736,0.001505,0.001505,0.001505
7,5239.25,2.9268,2.63219,1.19583,0.21578,0.22691,0.10165,0.02828,2.78729,2.66443,1.13393,0.001406,0.001406,0.001406
8,6054.76,2.84961,2.56003,1.17723,0.24176,0.20683,0.11157,0.03312,2.73053,2.41188,1.11412,0.001307,0.001307,0.001307
9,6713.72,2.8304,2.51009,1.1665,0.21308,0.2249,0.11054,0.03355,2.61969,2.42505,1.08093,0.001208,0.001208,0.001208
10,7303.29,2.81249,2.4637,1.17342,0.23271,0.20884,0.13196,0.03832,2.6089,2.40808,1.08472,0.001109,0.001109,0.001109
11,8000.4,2.67148,2.37774,1.2113,0.22419,0.21687,0.13244,0.03922,2.58532,2.3605,1.08694,0.00101,0.00101,0.00101
12,8707.04,2.62168,2.32142,1.19577,0.27748,0.20683,0.12663,0.04015,2.63915,2.40437,1.09795,0.000911,0.000911,0.000911
13,9321.06,2.61347,2.26768,1.18325,0.23122,0.24498,0.13448,0.03858,2.58162,2.31832,1.07611,0.000812,0.000812,0.000812
14,9984.9,2.55115,2.25013,1.17243,0.2666,0.21241,0.15593,0.04829,2.582,2.22952,1.08248,0.000713,0.000713,0.000713
15,10725.7,2.52652,2.19722,1.15959,0.23076,0.22289,0.14519,0.0465,2.53447,2.24179,1.06729,0.000614,0.000614,0.000614
16,11492,2.48388,2.14368,1.1454,0.24867,0.23695,0.14227,0.04584,2.49399,2.20729,1.06044,0.000515,0.000515,0.000515
17,12288,2.45546,2.11705,1.1349,0.28072,0.22648,0.16144,0.05217,2.48722,2.18934,1.05513,0.000416,0.000416,0.000416
18,13081.8,2.42103,2.08081,1.13067,0.26204,0.22088,0.1533,0.05129,2.45198,2.19147,1.04469,0.000317,0.000317,0.000317
19,13879.5,2.41386,2.05265,1.12376,0.26617,0.21687,0.15671,0.0524,2.45633,2.17502,1.04947,0.000218,0.000218,0.000218
20,14675.8,2.35592,2.01478,1.10978,0.2753,0.23092,0.16132,0.05309,2.4429,2.1936,1.0481,0.000119,0.000119,0.000119
