epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.5231,3.58077,21.1449,1.57454,0.1076,0.11446,0.03272,0.00931,3.18629,2.90503,1.30451,0.000662942,0.000662942,0.000662942
2,191.771,3.15842,3.00292,1.28951,0.1332,0.15863,0.04753,0.0121,3.19283,4.03647,1.29932,0.00127696,0.00127696,0.00127696
3,284.538,3.1305,2.94922,1.28387,0.16898,0.14659,0.05428,0.01403,2.86754,2.70807,1.15395,0.00183817,0.00183817,0.00183817
4,374.111,3.04722,2.88918,1.25638,0.16773,0.1506,0.06591,0.02024,2.94077,2.69641,1.17601,0.0017624,0.0017624,0.0017624
5,460.344,3.01304,2.74659,1.22507,0.21956,0.17671,0.10025,0.0266,2.8097,2.65255,1.14162,0.0016832,0.0016832,0.0016832
6,547.745,2.95772,2.66688,1.21272,0.22651,0.18273,0.10821,0.03109,2.77629,2.43608,1.12036,0.001604,0.001604,0.001604
7,635.502,2.87275,2.51209,1.18763,0.20535,0.21486,0.10898,0.03074,2.7039,2.31962,1.14358,0.0015248,0.0015248,0.0015248
8,723.645,2.81958,2.45534,1.16672,0.22391,0.18072,0.10572,0.02997,2.66899,2.36816,1.10286,0.0014456,0.0014456,0.0014456
9,810.931,2.77837,2.45507,1.15451,0.26114,0.17814,0.13115,0.0378,2.70586,2.34154,1.12486,0.0013664,0.0013664,0.0013664
10,898.555,2.76582,2.40405,1.15886,0.27667,0.20738,0.15566,0.04393,2.59093,2.27599,1.07607,0.0012872,0.0012872,0.0012872
11,989.205,2.7166,2.36424,1.14162,0.23965,0.22691,0.1521,0.04479,2.57604,2.22036,1.08893,0.001208,0.001208,0.001208
12,1077.71,2.68357,2.36151,1.1361,0.25289,0.21687,0.14016,0.04259,2.61061,2.23973,1.08248,0.0011288,0.0011288,0.0011288
13,1262.46,2.63362,2.289,1.12094,0.28117,0.23249,0.15645,0.04592,2.55841,2.20132,1.06405,0.0010496,0.0010496,0.0010496
14,1486.03,2.64526,2.26614,1.1246,0.27309,0.2249,0.15324,0.0446,2.52447,2.20382,1.05921,0.0009704,0.0009704,0.0009704
15,1702.58,2.58193,2.21219,1.10445,0.28041,0.22088,0.15729,0.0454,2.55285,2.17126,1.06909,0.0008912,0.0008912,0.0008912
16,1983.86,2.51917,2.19926,1.16289,0.25053,0.23896,0.15383,0.0481,2.4933,2.15064,1.05429,0.000812,0.000812,0.000812
17,2221.48,2.48125,2.14823,1.15907,0.26589,0.20482,0.15807,0.04537,2.49442,2.20352,1.05984,0.0007328,0.0007328,0.0007328
18,2450.31,2.45181,2.08806,1.13518,0.2568,0.23896,0.15741,0.04952,2.47109,2.16959,1.0582,0.0006536,0.0006536,0.0006536
19,2528.05,2.42132,2.06544,1.13657,0.21265,0.26506,0.14147,0.04563,2.426,2.16963,1.04296,0.0005744,0.0005744,0.0005744
20,2606.85,2.36543,2.03359,1.12241,0.23831,0.25301,0.13843,0.04333,2.48533,2.17851,1.04258,0.0004952,0.0004952,0.0004952
21,2685.45,2.34346,2.00806,1.10452,0.24724,0.251,0.1578,0.04679,2.4472,2.18112,1.05209,0.000416,0.000416,0.000416
22,2764.53,2.31741,1.96635,1.1067,0.27645,0.25088,0.17922,0.05168,2.43127,2.12794,1.04288,0.0003368,0.0003368,0.0003368
23,2843.27,2.29193,1.94435,1.09695,0.28032,0.27309,0.1765,0.05214,2.40109,2.12392,1.03384,0.0002576,0.0002576,0.0002576
24,2922.54,2.27943,1.89649,1.0866,0.30574,0.23695,0.17656,0.05439,2.40329,2.13299,1.04316,0.0001784,0.0001784,0.0001784
25,3002,2.23699,1.86647,1.08284,0.29447,0.251,0.18449,0.05468,2.38387,2.13277,1.03726,9.92e-05,9.92e-05,9.92e-05
